category,category_name
hep-ph,Physics
cond-mat.mes-hall,Physics
gr-qc,Physics
cond-mat.mtrl-sci,Physics
astro-ph,Physics
hep-th,Physics
hep-ex,Physics
nlin.PS,Physics
physics.chem-ph,Physics
q-bio.MN,Quantitative Biology
cond-mat.str-el,Physics
cond-mat.stat-mech,Physics
physics.optics,Physics
physics.comp-ph,Physics
hep-lat,Physics
nucl-th,Physics
math.QA,Mathematics
math-ph,Physics
math.MP,Mathematics
nlin.CD,Physics
physics.plasm-ph,Physics
physics.space-ph,Physics
nlin.SI,Physics
quant-ph,Physics
cs.IT,Computer Science
math.IT,Mathematics
cond-mat.soft,Physics
physics.pop-ph,Physics
cs.DS,Computer Science
nucl-ex,Physics
cond-mat.other,Physics
physics.flu-dyn,Physics
math.PR,Mathematics
cond-mat.supr-con,Physics
math.SG,Mathematics
physics.data-an,Physics
math.AP,Mathematics
q-bio.OT,Quantitative Biology
math.DG,Mathematics
math.CV,Mathematics
cond-mat.dis-nn,Physics
q-bio.PE,Quantitative Biology
math.GT,Mathematics
math.MG,Mathematics
math.CO,Mathematics
physics.atom-ph,Physics
cs.CC,Computer Science
physics.ao-ph,Physics
cs.AI,Computer Science
physics.bio-ph,Physics
physics.soc-ph,Physics
physics.ins-det,Physics
math.ST,Mathematics
stat.TH,Statistics
q-bio.NC,Quantitative Biology
q-fin.RM,Quantitative Finance
astro-ph.HE,Physics
physics.gen-ph,Physics
math.AG,Mathematics
math.GR,Mathematics
q-bio.BM,Quantitative Biology
math.OC,Mathematics
q-fin.GN,Quantitative Finance
q-fin.ST,Quantitative Finance
cs.LG,Computer Science
physics.class-ph,Physics
stat.ME,Statistics
stat.AP,Statistics
math.CA,Mathematics
physics.atm-clus,Physics
physics.acc-ph,Physics
math.NT,Mathematics
math.RT,Mathematics
physics.hist-ph,Physics
math.NA,Mathematics
math.FA,Mathematics
math.AC,Mathematics
physics.med-ph,Physics
stat.ML,Statistics
cs.CY,Computer Science
cs.IR,Computer Science
math.DS,Mathematics
cs.CV,Computer Science
physics.ed-ph,Physics
math.AT,Mathematics
math.CT,Mathematics
math.KT,Mathematics
q-bio.CB,Quantitative Biology
math.OA,Mathematics
cs.DM,Computer Science
q-bio.QM,Quantitative Biology
physics.geo-ph,Physics
nlin.AO,Physics
cs.SC,Computer Science
math.LO,Mathematics
cs.LO,Computer Science
math.RA,Mathematics
cond-mat.quant-gas,Physics
math.GN,Mathematics
cs.GT,Computer Science
stat.CO,Statistics
cs.CR,Computer Science
cs.DC,Computer Science
q-bio.SC,Quantitative Biology
math.SP,Mathematics
cs.AR,Computer Science
econ.EM,Economics
cs.NI,Computer Science
cs.CG,Computer Science
cs.HC,Computer Science
q-bio.TO,Quantitative Biology
q-fin.PR,Quantitative Finance
q-bio.GN,Quantitative Biology
astro-ph.CO,Physics
cs.FL,Computer Science
cs.MS,Computer Science
cs.NA,Computer Science
math.HO,Mathematics
cs.NE,Computer Science
cs.SD,Computer Science
q-fin.TR,Quantitative Finance
cs.DB,Computer Science
cs.CL,Computer Science
math.GM,Mathematics
cs.PL,Computer Science
cs.SE,Computer Science
cs.CE,Computer Science
cs.OH,Computer Science
nlin.CG,Physics
q-fin.CP,Quantitative Finance
cs.MM,Computer Science
cs.RO,Computer Science
cs.DL,Computer Science
cs.MA,Computer Science
q-fin.PM,Quantitative Finance
cs.GR,Computer Science
cs.PF,Computer Science
astro-ph.GA,Physics
astro-ph.SR,Physics
astro-ph.EP,Physics
econ.TH,Economics
astro-ph.IM,Physics
